Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
4.8,1.9999999999999463,18.00000000000012,2.293393181994531,3.0,10.0,6.0
4.832,1.9999999999999465,18.000000000000117,2.2834736152437434,3.0,10.0,6.0
4.864,1.999999999999947,18.000000000000114,2.2735874380091707,3.0,10.0,6.0
4.896,1.9999999999999474,18.000000000000114,2.2637527845758436,3.0,10.0,6.0
4.928,1.9999999999999478,18.000000000000114,2.253987159167777,3.0,10.0,6.0
4.96,1.9999999999999483,18.000000000000117,2.2443074023327556,3.0,10.0,6.0
4.992,1.9999999999999487,18.00000000000012,2.2347296606403066,3.0,10.0,6.0
5.024,1.9999999999999492,18.000000000000124,2.2252693596787303,3.0,10.0,6.0
5.056,1.9999999999999496,18.000000000000124,2.215941180325822,3.0,10.0,6.0
5.088,1.99999999999995,18.000000000000124,2.2067590382570867,3.0,10.0,6.0
5.12,1.9999999999999503,18.000000000000124,2.1977360666448393,3.0,10.0,6.0
5.152,1.9999999999999505,18.000000000000124,2.188884601991657,3.0,10.0,6.0
5.184,1.9999999999999507,18.00000000000012,2.180216173032259,3.0,10.0,6.0
5.216,1.999999999999951,18.000000000000117,2.171741492629057,3.0,10.0,6.0
5.248,1.9999999999999514,18.000000000000114,2.1634704525783883,3.0,10.0,6.0
5.28,1.9999999999999518,18.000000000000114,2.155412121236842,3.0,10.0,6.0
5.312,1.9999999999999523,18.000000000000114,2.1475747438701314,3.0,10.0,6.0
5.344,1.999999999999953,18.000000000000114,2.1399657456206698,3.0,10.0,6.0
5.376,1.9999999999999536,18.000000000000114,2.1325917369843883,3.0,10.0,6.0
5.408,1.9999999999999543,18.000000000000114,2.125458521682387,3.0,10.0,6.0
5.44,1.999999999999955,18.000000000000114,2.1185711068087505,3.0,10.0,6.0
5.472,1.9999999999999556,18.000000000000114,2.1119337151322592,3.0,10.0,6.0
5.5040000000000004,1.9999999999999563,18.000000000000114,2.105549799426802,3.0,10.0,6.0
5.5360000000000005,1.999999999999957,18.000000000000117,2.099422058703006,3.0,10.0,6.0
